Preguntas,Categoría,Respuesta Mejorada, 
¿Dónde están ubicadas las aulas?,Cursado,"Con estos enlaces podrás encontrar las aulas sin problemas:

📍 *Aulas D*: están en las Baterías D. Mirá el mapa: https://maps.app.goo.gl/r9WvtssCXKBm5pFR7
📍 *Aulas A*: están en las Baterías A. Mirá el mapa: https://maps.app.goo.gl/NNVVoSNEnhuu5URT7
📍 *Aulas C*: mirá el mapa: https://maps.app.goo.gl/VmdhSHiRMSpmjrhA8
📍 *Aulas R*: están en el pabellón de los reformistas. Mirá el mapa: https://maps.app.goo.gl/4Ww7q68ZwufGS2FL9
📍 *Aulas solo con número*: están en el Edificio de FAMAF. Mirá el mapa: https://maps.app.goo.gl/Ur9uQUBS4qvvMyyq6

Si necesitás más algo más, avisame 😊",
¿En qué aula se cursa una materia?,Cursado,"Podés ver el aula donde cursas en los horarios de cursado mediante el siguiente enalce: 
🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/

⚠️ *Dato importante:* Si el calendario de horarios aparece vacío, navegá con las flechas (< >) hasta una semana donde ya hayan comenzado las clases. ",
¿En qué horarios se cursa una materia?,Cursado," Podés ver los horarios de todas las materias en este link: 
🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/ 

⚠️ *Dato importante:* Si el calendario de horarios aparece vacío, navegá con las flechas (< >) hasta una semana donde ya hayan comenzado las clases. ",
¿Cómo puedo inscribirme en el Régimen Especial de Cursado (RE)?,Cursado,"📌 *Inscripción al Régimen Especial de Cursado (RE):*

Para anotarte al RE, completá este formulario que corresponde con el de este cuatri:
🔗 https://forms.gle/EYCtgdb5Ld6tHNjT9

⚠️ *Dato importante:* El formulario de inscripción cambia en cada cuatrimestre.

*Proceso de inscripción*:

✅ No es automático. Revisan tu documentación y confeccionan un *Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE)*.

✅ Cuando este listo, te enviarán un mail confirmando tu inscripción y explicando cómo entregar el CUREE.

Cuando lo tengas, te inscribís a las materias y turnos elegidos mediante Guaraní. *Si el sistema no te deja* podés comunicarte con *Despacho de Estudiantes* de *lunes a viernes de 9 a 14 hs* o vía mail a despachoestudiantes@famaf.unc.edu.ar para pedir que te inscriban en las comisión que querías.

*Te quedaron dudas?*

Podes escribiles a la *Secretaría de Asuntos Estudiantiles* por mail.",
¿Cómo puedo inscribirme al Régimen de Alumno Trabajador?,Cursado,"📌 *Inscripción al Régimen Especial de Cursado (RE):*

Para anotarte al RE, completá este formulario que corresponde con el de este cuatri:
🔗 https://forms.gle/EYCtgdb5Ld6tHNjT9

⚠️ *Dato importante:* El formulario de inscripción cambia en cada cuatrimestre.

*Proceso de inscripción*:

✅ No es automático. Revisan tu documentación y confeccionan un *Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE)*.

✅ Cuando este listo, te enviarán un mail confirmando tu inscripción y explicando cómo entregar el CUREE.

Cuando lo tengas, te inscribís a las materias y turnos elegidos mediante Guaraní. *Si el sistema no te deja* podés comunicarte con *Despacho de Estudiantes* de *lunes a viernes de 9 a 14 hs* o vía mail a despachoestudiantes@famaf.unc.edu.ar para pedir que te inscriban en las comisión que querías.

*Te quedaron dudas?*

Podes escribiles a la *Secretaría de Asuntos Estudiantiles* por mail.",
¿Cómo puedo inscribirme al Régimen Trabajador?,Cursado,"📌 *Inscripción al Régimen Especial de Cursado (RE):*

Para anotarte al RE, completá este formulario que corresponde con el de este cuatri:
🔗 https://forms.gle/EYCtgdb5Ld6tHNjT9

⚠️ *Dato importante:* El formulario de inscripción cambia en cada cuatrimestre.

*Proceso de inscripción*:

✅ No es automático. Revisan tu documentación y confeccionan un *Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE)*.

✅ Cuando este listo, te enviarán un mail confirmando tu inscripción y explicando cómo entregar el CUREE.

Cuando lo tengas, te inscribís a las materias y turnos elegidos mediante Guaraní. *Si el sistema no te deja* podés comunicarte con *Despacho de Estudiantes* de *lunes a viernes de 9 a 14 hs* o vía mail a despachoestudiantes@famaf.unc.edu.ar para pedir que te inscriban en las comisión que querías.

*Te quedaron dudas?*

Podes escribiles a la *Secretaría de Asuntos Estudiantiles* por mail.",
¿Qué es el Régimen Especial de Cursado (RE)?,Cursado,"📌 *Régimen Especial de Cursado (RE)*

Es un beneficio para estudiantes que se encuentren en situación de *trabajo, enfermedad, embarazo y/o tengan persona/s a cargo*, que les permite acceder a los sigueintes derechos:

* *No tenés que cumplir con el mínimo de asistencia* para regularizar o promocionar una materia.
* *No necesitás ir a los laboratorios* (solo si son presenciales obligatorios).
* *Podés rendir parciales en otro día y horario* si lo necesitás.
* *Tenés prioridad para elegir comisión* al inscribirte.

Más info: 🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-de-asuntos-estudiantiles/r%C3%A9gimen-especial-de-cursado-de-famaf-primer-cuatrimestre-2023/",
¿Qué es el Régimen de Alumno Trabajador?,Cursado,"📌 *Régimen Especial de Cursado (RE)*

Es un beneficio para estudiantes que se encuentren en situación de *trabajo, enfermedad, embarazo y/o tengan persona/s a cargo*, que les permite acceder a los sigueintes derechos:

* *No tenés que cumplir con el mínimo de asistencia* para regularizar o promocionar una materia.
* *No necesitás ir a los laboratorios* (solo si son presenciales obligatorios).
* *Podés rendir parciales en otro día y horario* si lo necesitás.
* *Tenés prioridad para elegir comisión* al inscribirte.

Más info: 🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-de-asuntos-estudiantiles/r%C3%A9gimen-especial-de-cursado-de-famaf-primer-cuatrimestre-2023/",
¿Qué es el Régimen Trabajador?,Cursado,"📌 *Régimen Especial de Cursado (RE)*

Es un beneficio para estudiantes que se encuentren en situación de *trabajo, enfermedad, embarazo y/o tengan persona/s a cargo*, que les permite acceder a los sigueintes derechos:

* *No tenés que cumplir con el mínimo de asistencia* para regularizar o promocionar una materia.
* *No necesitás ir a los laboratorios* (solo si son presenciales obligatorios).
* *Podés rendir parciales en otro día y horario* si lo necesitás.
* *Tenés prioridad para elegir comisión* al inscribirte.

Más info: 🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-de-asuntos-estudiantiles/r%C3%A9gimen-especial-de-cursado-de-famaf-primer-cuatrimestre-2023/",
¿Cómo es el trámite para solicitar el diploma digital?,Cursado,"📌 *Diploma digital:*

Seguí este instructivo paso a paso para obtenerlo:
 🔗 https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing",
