Preguntas,Respuesta,Categoría
¿Dónde están ubicadas las aulas?,"Las aulas D, están ubicadas en las Baterías D: https://maps.app.goo.gl/r9WvtssCXKBm5pFR7 
Las aulas A, están ubicadas en la Baterías A: https://maps.app.goo.gl/NNVVoSNEnhuu5URT7
Las aulas R, están ubicadas dentro del pabellón de los reformistas: https://maps.app.goo.gl/4Ww7q68ZwufGS2FL9
Las aulas solo con número están ubicadas en el Edificio de FAMAF: https://maps.app.goo.gl/Ur9uQUBS4qvvMyyq6",Cursado
¿En qué aula se cursa una materia?,El aula de cursado de cada materia están publicados en el siguiente enlace: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/,Cursado
¿A qué horarios se cursa una materia?,"Los horarios de cursado de las materias están disponibles en el siguiente enlace:
https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/",Cursado
¿Cómo puedo inscribirme en el Regimen Especial de Cursado?,"Para inscribirte a Regimen Especial de Cursado (RE) es necesario completar el siguiente formulario:
https://docs.google.com/forms/d/e/1FAIpQLScQsLyO4mcpMIBdhchUmE2LMKdMbhLU8YBV778V4eWRk_Kptw/viewform?pli=1

El formulario es para realizar la inscripción al Régimen Especial de cursado correspondiente al cuatrimestre que estés cursando.

El proceso de inclusión del estudiante al RE no es automático, sino que se revisará la documentación enviada y se confeccionará un Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE). Luego de que se realice este proceso, recibirán un mail confirmando su inscripción al régimen y explicando los pasos para la entrega del CUREE.

Desde ese entonces, los estudiantes deberán inscribirse a las materias y turnos elegidos a través del sistema GUARANI. En caso de que el sistema no lo permita por saturación de una comisión, pueden comunicarse con Despacho de Estudiantes de lunes a viernes de 9 a 14 horas o a través del correo despachoestudiantes@famaf.unc.edu.ar presentando el CUREE y solicitando ser inscripto/a en las comisiones elegidas (derecho que solo puede hacerse valer durante los períodos de inscripción de las materias).

Cualquier otra duda consultarse con la Secretaría de Asuntos Estudiantiles al email",Cursado
¿Cómo puedo realizar la solicitud de la certificación?,"La solicitud de la certificación se realiza desde el Sistema Guaraní, los pasos están detallados en el siguiente instructivo:
https://drive.google.com/file/d/1YeGzYd3fChSVoYf2IJsCBbV4nM7CuIqo/view?usp=sharing",Egreso
¿Cuáles son las fechas definitivas de exámenes para una materia?,"Las fechas definitivas de exámenes para la materias de grado se pueden encontrar en el siguiente enlace: https://drive.google.com/file/d/1OUEoMGZWouTDqw7uUFPtgdL3XQoHWc6Q/view?pli=1
Las mismas se encuentran fijas, por lo que no cambia en que día de la mesa de examen se va a rendir cierta materia, de esta manera se puede saber todo el año las fechas que se va a rendir una matería y no hay que esperar las fechas definitivas para poder preparar el examen.
En el documento, se encuentra las materias listadas por fecha de examen, para saber la fecha exacta que tenés que rendir debes consultar el calendario académico: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/calendario-acad%C3%A9mico/  y fijarte las fechas del turno de exámen que desas rendir.
Cada época de exámen tiene 5 días para rendir que corresponden con las 5 fechas detalladas en el primer documento, de esta manera si la materia que planeas rendir figura en la columna ""Fecha 1"" se rendiría en el primer día del turno.
Por ejemplo, si el turno de época de examenes en cuál deseas rendir es del 1/12 hasta el 5/12 y la matería que tenes que rendir figura en la columna ""Fecha 1"", entonces dicha materia se rendiría el 1/12. Asimismo, si la materia figura en la columna ""Fecha 2"" se rendiría el 2/12 y si figura en la columna ""Fecha 3"" el 3/12 y así sucesivamente.

Recordá que tenés tiempo para inscibirte hasta 3 días hábiles antes del examen. ",Exámenes
¿En qué aula tengo que rendir?,Las aulas designadas para rendir una materia son informadas unos días antes de la fecha de examen a través de la página web del Despacho de Alumos de FAMAF: https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/%C3%A1rea-direcci%C3%B3n-de-ense%C3%B1anza/despacho-de-alumnos-cartelera-de-informaci%C3%B3n/,Exámenes
¿Cuál es el Calendario Académico 2025?,"Calendario Académico 2025

Curso de Nivelación – Modalidad Intensiva (Ingreso 2025)
- Preinscripciones: 11/11/2024 al 29/01/2025
- Cursado: 29/01/2025 al 25/02/2025
- Inscripción definitiva: 03/02/2025 al 19/02/2025
- Examen: 05/03/2025

Época de Exámenes Febrero–Marzo 2025 – Grado y Posgrado
- 1er turno: 10/02/2025 al 14/02/2025
- 2do turno: 24/02/2025 al 28/02/2025

Primer Cuatrimestre 2025 – Grado y Posgrado
- Inscripciones: 28/02/2025 al 14/03/2025
- Cursado: 10/03/2025 al 19/06/2025
- Acto de colación: 27/06/2025

Época de Exámenes Julio 2025 – Grado y Posgrado
- 1er turno: 30/06/2025 al 04/07/2025
- 2do turno: 21/07/2025 al 25/07/2025
- 3er turno: 04/08/2025 al 08/08/2025

Curso de Nivelación – Modalidad No Intensiva (Ingreso 2026)
- Preinscripciones: 02/06/2025 al 27/06/2025
- Cursado: 08/08/2025 al 22/11/2025
- Examen: en diciembre de 2025 (fecha a determinar)

Segundo Cuatrimestre 2025 – Grado y Posgrado
- Inscripciones: 04/08/2025 al 15/08/2025
- Cursado: 11/08/2025 al 21/11/2025
- Acto de colación: 28/11/2025

Época de Exámenes Noviembre–Diciembre 2025 – Grado y Posgrado
- 1er turno: 01/12/2025 al 05/12/2025
- 2do turno: 15/12/2025 al 19/12/2025",Información General
¿Cómo puedo tramitar el ingreso a FAMAF desde otra facultad?,"Para solicitar ingresar a una carrera de FAMAF desde otra facultad (equivalencia externa), deberá enviar un email solicitando los requisitos despachoestudiantes@famaf.unc.edu.ar.
En caso de que el estudiante ya sea alumno de FAMAF, deberá aclararlo específicametne en la nota de solicitud. Si se quiere ingresar a dos o más carreras, se deberá iniciar un trámite por cada carrera a ingresar.",Ingreso
¿Cómo hacer la preinscricpión para el curso de nivelación de FAMAF?,"La preinscricpión al Curso de Nivelación de FAMAF se encuentra abierta desde el 3 de noviembre hasta el 12 de diciembre del 2025, este se dictará durante enero y febrero del año 2026, para los que desean ingresar a una carrera en FAMAF el 2026.

Para inscribirte necesitas tener un usuario en Sistema Guaraní, en caso de que no tengas podes solicitarlo mediante el siguiente formulario:
https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenes un usuario en sistema Guarani, tenes que ingresar y seguir  los pasos del siguiente video-tutorial:

https://www.youtube.com/watch?v=deQuWbJnEDU

En caso de que seas alumno extranjero deberás seguir los pasos del siguiente instructivo:

https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0",Ingreso
