conversation_id,turn,pregunta
1,1,"Che, ¿sabés si ya abrieron la inscripción a las materias en Guaraní?"
1,2,"Porque ayer entré y me decía que todavía no estaba habilitado."
1,3,"¿Eso depende del calendario académico de este cuatrimestre?"
1,4,"Y cuándo suele aparecer ahí la fecha exacta, ¿en la parte de trámites?"
1,5,"Si me anoto tarde, ¿pierdo el cupo o solamente entro como condicional?"
1,6,"Ah, y lo de los cupos ¿se actualiza solo o hay que refrescar?"
1,7,"¿Y puedo cambiar de comisión después o ya queda fija?"
1,8,"Si la cambio, ¿tengo que avisarle al profe o con Guaraní basta?"
1,9,"Listo, ¿y eso queda registrado para el certificado de alumno regular?"
2,1,"Tengo que ver los horarios de análisis, ¿dónde estaban publicados?"
2,2,"Porque en la página de FaMAF vi algo pero parecía del año pasado."
2,3,"¿Los horarios del aula 17 siguen siendo los mismos que en el primer cuatri?"
2,4,"Y si el aula cambia a último momento, ¿eso se avisa por Guaraní o por correo?"
2,5,"¿Hay algún grupo donde avisen esas cosas o solo queda chequear la web?"
2,6,"Entonces lo más confiable es el calendario académico, ¿no?"
2,7,"¿Y los feriados también los ponen ahí o van por otro lado?"
2,8,"Genial, ¿y sirve para ver cuándo empiezan los finales?"
2,9,"Dale, con eso me alcanza para organizarme."
3,1,"Tengo una duda con lo del régimen especial, ¿cómo se pide?"
3,2,"Porque escuché que algunos lo anotan desde Guaraní pero otros por formulario."
3,3,"¿Eso es para gente que trabaja o también para cuidados familiares?"
3,4,"Y si lo pido, ¿me cambia la forma de cursar o solo las evaluaciones?"
3,5,"¿Puedo cursar menos horas presenciales si me lo aprueban?"
3,6,"Y la nota final, ¿queda marcada como régimen especial o queda igual?"
3,7,"¿Se renueva cada cuatrimestre o queda permanente?"
3,8,"Entonces tengo que mandar la documentación cada vez, ¿cierto?"
4,1,"¿Para rendir libre análisis 1 qué tengo que presentar?"
4,2,"Porque un amigo me dijo que hay que anotarse por Guaraní en 'libres'."
4,3,"¿Y el final libre tiene la misma fecha que el regular?"
4,4,"¿Hay algún requisito de asistir a consultas antes del examen?"
4,5,"¿Y el programa para el libre dónde lo encuentro?"
4,6,"¿Ese programa cambia seguido o suele mantenerse?"
4,7,"¿Te toman todo o solo una parte específica del contenido?"
4,8,"Listo, con saber eso puedo empezar a estudiar."
5,1,"Necesito pedir el certificado de alumno regular, ¿cómo es el trámite?"
5,2,"Hace falta estar inscripta en al menos una materia, ¿no?"
5,3,"¿Y el certificado llega al toque o demora algunos días?"
5,4,"Si lo pido en papel, ¿hay que ir a mesa de entradas?"
5,5,"Pero si lo quiero digital, ¿me llega por correo institucional?"
5,6,"¿Sirve igual para presentar en becas?"
5,7,"Genial, ¿y el analítico parcial se pide por el mismo lado?"
6,1,"Che, ¿cómo sé si sigo siendo regular en la carrera?"
6,2,"Porque creo que había un límite de finales aprobados por año."
6,3,"¿Eso se mide por materias cursadas o por exámenes rendidos?"
6,4,"Si perdés la regularidad, ¿podés recuperarla cursando de nuevo?"
6,5,"¿Y Guaraní muestra el estado de regularidad?"
6,6,"Ah, entonces debería revisarlo ahí antes de inscribirme."
6,7,"Gracias, con eso ya me ubico."
7,1,"Necesito ver cuándo arrancan las clases del segundo cuatri."
7,2,"¿Eso estaba en el calendario académico de la web?"
7,3,"Porque me figura una fecha pero no sé si es la definitiva."
7,4,"¿Los cambios los avisan por algún lado específico?"
7,5,"¿Y las mesas especiales también salen ahí?"
7,6,"Dale, entonces reviso ese documento."
8,1,"Che, ¿para cambiarme de comisión de álgebra se podía hacer desde Guaraní?"
8,2,"Porque me aparece todo como cerrado."
8,3,"¿Capaz ya pasó la fecha de modificación?"
8,4,"Si ya se cerró, ¿hay que pedirle directamente al profe?"
8,5,"¿Ellos pueden movernos o tiene que hacerlo bedelía?"
8,6,"¿Y eso después queda reflejado en el acta?"
9,1,"Estoy tratando de organizar todas las fechas del cuatri, ¿dónde estaban las mesas de examen?"
9,2,"Creo que el calendario académico tenía un PDF con todas, ¿o me equivoco?"
9,3,"¿Y las mesas extraordinarias también aparecen ahí o solo las regulares?"
9,4,"Si una materia no aparece, ¿significa que no abre mesa ese mes?"
9,5,"¿Los docentes pueden agregar una mesa especial para alumnos atrasados?"
9,6,"¿Y eso se anuncia en la página del departamento o queda en Guaraní?"
9,7,"También quería revisar los horarios de consultas, ¿están en el mismo lado?"
9,8,"Porque el año pasado estaban en un Google Sheet."
9,9,"¿Y si cambian, lo actualizan o hay que esperar al profe?"
9,10,"Otra cosa: para pedir equivalencias, ¿tengo que subir el analítico?"
9,11,"¿Ese analítico parcial sirve o tiene que ser el completo?"
9,12,"¿Cuánto demora el trámite normalmente?"
9,13,"Si me aprueban la equivalencia, ¿ya puedo inscribirme a la correlativa?"
9,14,"¿Guaraní lo actualiza solo o tengo que avisar a alguien?"
9,15,"Y si no me la aprueban, ¿me dicen el motivo?"
9,16,"¿Se puede volver a presentar el pedido?"
9,17,"También necesito el certificado de materias aprobadas, ¿es el mismo que el analítico parcial?"
9,18,"¿Ese lo generan por el sistema o me lo tienen que firmar?"
9,19,"¿Tarda más que el de alumno regular?"
9,20,"Listo, con eso ya creo que tengo todo para avanzar."

