Preguntas,Respuesta,Categoría,, 
¿Dónde están ubicadas las aulas?,"Las aulas D están ubicadas en las Baterías D: https://maps.app.goo.gl/r9WvtssCXKBm5pFR7 
Las aulas A están ubicadas en las Baterías A: https://maps.app.goo.gl/NNVVoSNEnhuu5URT7
Las aulas R están ubicadas dentro del pabellón de los reformistas: https://maps.app.goo.gl/4Ww7q68ZwufGS2FL9
Las aulas solo con número están ubicadas en el Edificio de FAMAF: https://maps.app.goo.gl/Ur9uQUBS4qvvMyyq6",Cursado,,
¿En qué aula se cursa una materia?,El aula de cursado de cada materia está publicada en el siguiente enlace: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/,Cursado,,
¿En qué horarios se cursa una materia?,"Los horarios de cursado de las materias están disponibles en el siguiente enlace:
https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/",Cursado,,
¿Cómo puedo inscribirme en el Régimen Especial de Cursado?,"Para inscribirte al Régimen Especial de Cursado (RE) es necesario completar el siguiente formulario:
https://docs.google.com/forms/d/e/1FAIpQLScQsLyO4mcpMIBdhchUmE2LMKdMbhLU8YBV778V4eWRk_Kptw/viewform?pli=1

El formulario es para realizar la inscripción al Régimen Especial de cursado correspondiente al cuatrimestre que estés cursando.

El proceso de inclusión del estudiante al RE no es automático, sino que se revisará la documentación enviada y se confeccionará un Certificado Único de Régimen de Excepciones al Sistema de Cursado de Estudiantes (CUREE). Luego de que se realice este proceso, recibirán un mail confirmando su inscripción al régimen y explicando los pasos para la entrega del CUREE.

Desde ese entonces, los estudiantes deberán inscribirse a las materias y turnos elegidos a través del sistema GUARANÍ. En caso de que el sistema no lo permita por saturación de una comisión, pueden comunicarse con Despacho de Estudiantes de lunes a viernes de 9 a 14 horas o a través del correo despachoestudiantes@famaf.unc.edu.ar presentando el CUREE y solicitando ser inscripto/a en las comisiones elegidas (derecho que solo puede hacerse valer durante los períodos de inscripción de las materias).

Cualquier otra duda consultar con la Secretaría de Asuntos Estudiantiles al email.",Cursado,,
¿Cómo hago el trámite para pedir la certificación?,"La solicitud de la certificación se realiza desde el Sistema Guaraní, los pasos están detallados en el siguiente instructivo:
https://drive.google.com/file/d/1YeGzYd3fChSVoYf2IJsCBbV4nM7CuIqo/view?usp=sharing",Egreso,,
¿Cuáles son las fechas definitivas de exámenes para una materia?, "Las fechas definitivas de exámenes para las materias de grado se pueden encontrar en el siguiente enlace: https://drive.google.com/file/d/1OUEoMGZWouTDqw7uUFPtgdL3XQoHWc6Q/view?pli=1
Las mismas se encuentran fijas, por lo que no cambia en qué día de la mesa de examen se va a rendir cierta materia. De esta manera se puede saber todo el año las fechas en que se va a rendir una materia y no hay que esperar las fechas definitivas para poder preparar el examen.
En el documento, se encuentran las materias listadas por fecha de examen. Para saber la fecha exacta que tenés que rendir debés consultar el calendario académico: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/calendario-acad%C3%A9mico/ y fijarte las fechas del turno de examen que deseas rendir.
Cada época de examen tiene 5 días para rendir que corresponden con las 5 fechas detalladas en el primer documento; de esta manera, si la materia que planeas rendir figura en la columna ""Fecha 1"" se rendiría en el primer día del turno.
Por ejemplo, si el turno de época de exámenes en el cual deseas rendir es del 1/12 hasta el 5/12 y la materia que tenés que rendir figura en la columna 'Fecha 1', entonces dicha materia se rendiría el 1/12. Asimismo, si la materia figura en la columna 'Fecha 2' se rendiría el 2/12, si figura en la columna 'Fecha 3' el 3/12, y así sucesivamente.

Recordá que tenés tiempo para inscribirte hasta 3 días hábiles antes del examen.",Exámenes,,
¿En qué aula tengo que rendir un examen final?,Las aulas designadas para rendir una materia son informadas unos días antes de la fecha de examen a través de la página web del Despacho de Alumnos de FAMAF: https://www.famaf.unc.edu.ar/la-facultad/institucional/areas-y-departamentos/%C3%A1rea-direcci%C3%B3n-de-ense%C3%B1anza/despacho-de-alumnos-cartelera-de-informaci%C3%B3n/,Exámenes,,
¿Cuál es el Calendario Académico 2025?,"Calendario Académico 2025

Curso de Nivelación – Modalidad Intensiva (Ingreso 2025)
- Preinscripciones: 11/11/2024 al 29/01/2025
- Cursado: 29/01/2025 al 25/02/2025
- Inscripción definitiva: 03/02/2025 al 19/02/2025
- Examen: 05/03/2025

Época de Exámenes Febrero–Marzo 2025 – Grado y Posgrado
- 1er turno: 10/02/2025 al 14/02/2025
- 2do turno: 24/02/2025 al 28/02/2025

Primer Cuatrimestre 2025 – Grado y Posgrado
- Inscripciones: 28/02/2025 al 14/03/2025
- Cursado: 10/03/2025 al 19/06/2025
- Acto de colación: 27/06/2025

Época de Exámenes Julio 2025 – Grado y Posgrado
- 1er turno: 30/06/2025 al 04/07/2025
- 2do turno: 21/07/2025 al 25/07/2025
- 3er turno: 04/08/2025 al 08/08/2025

Curso de Nivelación – Modalidad No Intensiva (Ingreso 2026)
- Preinscripciones: 02/06/2025 al 27/06/2025
- Cursado: 08/08/2025 al 22/11/2025
- Examen: en diciembre de 2025 (fecha a determinar)

Segundo Cuatrimestre 2025 – Grado y Posgrado
- Inscripciones: 04/08/2025 al 15/08/2025
- Cursado: 11/08/2025 al 21/11/2025
- Acto de colación: 28/11/2025

Época de Exámenes Noviembre–Diciembre 2025 – Grado y Posgrado
- 1er turno: 01/12/2025 al 05/12/2025
- 2do turno: 15/12/2025 al 19/12/2025",Información General,,
¿Qué requisitos piden para la equivalencia externa si vengo de otra facultad y quiero cambiarme a FAMAF?,"Para solicitar ingresar a una carrera de FAMAF desde otra facultad (equivalencia externa), deberás enviar un email solicitando los requisitos a despachoestudiantes@famaf.unc.edu.ar.
En caso de que el estudiante ya sea alumno de FAMAF, deberá aclararlo específicamente en la nota de solicitud. Si se quiere ingresar a dos o más carreras, se deberá iniciar un trámite por cada carrera a ingresar.",Ingreso,,
¿Cómo hacer la preinscripción para el curso de nivelación 2026 de FAMAF?,"La preinscripción al Curso de Nivelación de FAMAF se encuentra abierta desde el 3 de noviembre hasta el 12 de diciembre de 2025. Este se dictará durante enero y febrero del año 2026, para los que deseen ingresar a una carrera en FAMAF en 2026.

Para inscribirte necesitás tener un usuario en Sistema Guaraní; en caso de que no tengas, podés solicitarlo mediante el siguiente formulario:
https://preinscripcion.guarani.unc.edu.ar/preinscripcion/

Si ya tenés un usuario en sistema Guaraní, tenés que ingresar y seguir los pasos del siguiente video-tutorial:

https://www.youtube.com/watch?v=deQuWbJnEDU

En caso de que seas alumno extranjero deberás seguir los pasos del siguiente instructivo:

https://docs.google.com/document/d/1lea6U_TZ7dL1BqoBUjWK0cS2jW7ar4hCmtuIODqtSqQ/edit?tab=t.0",Ingreso,,
¿Qué documentación tengo que llevar para hacer la inscripción definitiva?,"La Inscripción Definitiva suele realizarse a principios de febrero. Se requiere presentar la documentación que acredite haber completado los estudios secundarios sin adeudar materias. Luego de esta inscripción, el ingresante pasa a ser estudiante de la universidad.",Ingreso,,
¿Cuándo se realiza el curso de nivelación 2026?,El curso de nivelación se dictará entre fines de enero y fines de febrero de 2026 y se ofrece bajo una única modalidad: presencial.,Ingreso,,
¿Cuáles son los horarios del curso de nivelación?,"Quienes cursen el Curso de Nivelación podrán optar por: turno mañana, de 9 a 13 horas; o turno tarde, de 14 a 18 horas.",Ingreso,,
¿Cuál es la diferencia de inscribirse a las materias como libre o regular?,"El régimen de correlatividades de cada carrera establece:
1. Cuáles materias deben haberse aprobado y
2. Cuáles materias deben haberse regularizado

para poder inscribirse como estudiante regular de una nueva materia. Quienes se inscriban como tal, podrán alcanzar, al finalizar la misma, y asumiendo que hayan cumplido durante su cursado con los requisitos establecidos en su programa, la condición de estudiante regular de esa materia. Cada estudiante que haya alcanzado esa condición tendrá derecho, por el término de dos años, a rendir el examen de la materia con el mismo programa con que la regularizó. En algunas materias puede incluso existir el beneficio de un examen diferenciado para aquellos/as estudiantes que alcanzaron la regularidad. Si la materia es promocionable, quienes hayan aprobado las materias del punto 2 tendrán la posibilidad de alcanzar la promoción de la materia cumpliendo con los requisitos establecidos en su programa.

Quienes no cumplan con el requisito mencionado en el punto 2 podrán solicitar excepcionalmente la inscripción como estudiante libre a la Secretaría Académica. En caso de aceptarse, tendrán derecho a rendir los parciales y realizar los trabajos prácticos y demás actividades de la materia, pero no podrán alcanzar la condición de estudiante regular ni promocional.",Ingreso,,
¿Cómo me inscribo para cursar las materias?,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Materias"", luego elegí la materia a la cual quieras inscribirte y hacé clic en ""Inscribirse"".

El sistema automáticamente intentará inscribirte con la condición de regular/promocional por defecto. Si te muestra algún mensaje de error, es porque no cumplís los requisitos.",Ingreso,,
¿Cómo me inscribo para rendir el examen final de una materia?,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse"".",Exámenes,,
¿Qué tengo que hacer si quiero cambiarme a otra carrera de FAMAF o cursar otra al mismo tiempo?,"Para solicitar cambiar de carrera o cursar en paralelo varias de la oferta de grado de FAMAF, deberás llenar el siguiente formulario:

https://docs.google.com/forms/d/e/1FAIpQLSeNA8jXxGARDeebj0TdjXMmmXGNph0gZQPkzfliWZbcbN9KdQ/viewform

Las solicitudes se recibirán hasta la finalización de la primera semana de diciembre y se reabrirán el primer día hábil de febrero; serán resueltas en el término de 15 días hábiles a partir de la presentación y se informará por correo electrónico.

El trámite debe iniciarse por cada carrera que se desee cursar (por separado).

Al aceptarse la inscripción a cursar de manera paralela la carrera nueva, se transcribe automáticamente la actuación académica en las materias correspondientes del Anexo I de la Resolución RHCD-2024-397-E-UNC-DEC#FAMAF (por mayor información, remitirse a su Artículo 1°).",Cursado,,
¿Dónde tengo que llenar el formulario para pedir equivalencias comunes entre carreras de FAMAF?,"Al aceptarse la inscripción a cursar de manera paralela la carrera nueva, se transcribe automáticamente la actuación académica en las materias correspondientes del Anexo I de la Resolución RHCD-2024-397-E-UNC-DEC#FAMAF (por mayor información, remitirse a su Artículo 1°).

https://www.famaf.unc.edu.ar/documents/5076/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_I.pdf

Para solicitar el reconocimiento de materias comunes entre carreras (materias correspondientes al Anexo II y al Anexo III de la Resolución RHCD-2024-397-E-UNC-DEC#FAMAF):

https://www.famaf.unc.edu.ar/documents/5077/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_II.pdf
https://www.famaf.unc.edu.ar/documents/5078/RHCD-2024-397-E-UNC-DEC_FAMAF_-_ANEXO_III.pdf

y otras equivalencias internas habituales, se debe llenar este formulario:

https://forms.gle/bY9kevLfS6by49VA7

Las materias que no se encuentren comprendidas en ese formulario las podrán solicitar completando la siguiente nota:

https://docs.google.com/document/d/1klRjzZnZstC-ES7BbqN3FYl0uB1LzheP

y enviándola a nfigueroa@unc.edu.ar

Las solicitudes se recibirán durante todo el año académico, serán resueltas en el término de 15 días hábiles a partir de la presentación y se informará por correo electrónico.",Cursado,,
¿Cómo saco el certificado de alumno regular?,"Para solicitar el certificado de alumno regular, se debe iniciar sesión en Guaraní, dirigirse a ""Trámites"" > ""Solicitar Constancias y Certificados"" > ""Nueva Solicitud""; ahí deberán completar los datos que le solicita el formulario y hacer clic en el botón de guardar. Automáticamente se generará el certificado.",Cursado,,
¿Qué tengo que hacer para inscribirme al trabajo especial?,"Las inscripciones al trabajo especial se receptarán solo en los meses de marzo y agosto. Debés enviar una nota dirigida al/la Decano/a de FAMAF proponiendo el tema y el/la/los director/a/es, un breve resumen, un plan de trabajo, con su acuerdo explícito; es decir, todo debe estar firmado por vos y el/la/los director/a/es.

A continuación adjunto el reglamento del trabajo especial donde podés encontrar toda la información que necesites:

https://digesto.unc.edu.ar/bitstream/handle/123456789/556139/RHCD-2024-600-UNC-DEC%23FAMAF.pdf?sequence=1&isAllowed=y",Egreso,,
¿Dónde encuentro los Planes de Estudio?,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese.",Información General,,
